"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"NSW","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,1
2024,"NSW","Outer Regional Australia","0-16","speed_fines","Police issued",2,0,0
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",0,0,2
2024,"NSW","Remote Australia","0-16","speed_fines","Police issued",1,0,0
2024,"NSW","All Regions","0-16","speed_fines","Police issued",2,0,0
2024,"NSW","All Regions","0-16","unlicensed_driving","Not applicable",1,0,3
2024,"NSW","Very Remote Australia","0-16","unlicensed_driving","Not applicable",0,0,1
2024,"NT","All Regions","0-16","non_wearing_seatbelts","Police issued",0,0,3
2024,"NT","All Regions","0-16","speed_fines","Fixed and mobile camera",3,0,0
2024,"NT","All Regions","0-16","speed_fines","Other",0,1,1
2024,"NT","All Regions","0-16","speed_fines","Police issued",2,0,0
2024,"NT","All Regions","0-16","unlicensed_driving","Not applicable",0,18,35
2024,"QLD","All Regions","0-16","mobile_phone_use","Fixed and mobile camera",162,0,0
2024,"QLD","All Regions","0-16","mobile_phone_use","Police issued",2,0,0
2024,"QLD","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",42,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",602,0,0
2024,"QLD","All Regions","0-16","speed_fines","Fixed and mobile camera",748,0,0
2024,"QLD","All Regions","0-16","speed_fines","Police issued",4,0,0
2024,"QLD","All Regions","0-16","unlicensed_driving","Not applicable",59,0,0
2024,"SA","Inner Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",2,0,0
2024,"SA","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"SA","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"SA","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Outer Regional Australia","0-16","speed_fines","Fixed and mobile camera",1,0,0
2024,"SA","All Regions","0-16","unlicensed_driving","Not applicable",0,6,8
2024,"TAS","All Regions","0-16","non_wearing_seatbelts","Fixed and mobile camera",1,0,0
2024,"TAS","All Regions","0-16","unlicensed_driving","Not applicable",0,1,4
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","0-16","speed_fines","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","0-16","non_wearing_seatbelts","Fixed and mobile camera",0,0,0
